Paper ID,SMILES,name,step,SMILES_pro
1,O=C1C2=CC(NC3CCN(C(C)=O)CC3)=CC=C2CCN1C[C@H](O)CN4CC5=C(C=CC=C5)CC4,A1,6,CC(=O)N1CCC(Nc2ccc3c(c2)C(=O)N(CC(O)CN2CCc4ccccc4C2)CC3)CC1
1,O=C1C2=CC(NC3CCN(C(C4CC4)=O)CC3)=CC=C2C5(CCCC5)CN1C[C@H](O)CN6CC7=C(C=CC=C7)CC6,C9,3,O=C1c2cc(NC3CCN(C(=O)C4CC4)CC3)ccc2C2(CCCC2)CN1CC(O)CN1CCc2ccccc2C1
2,O=C(N(C1=CC=C(N2CCC(C)CC2)C(C(F)(F)F)=C1)C)C3=CC=C(CN4CCOCC4)C=C3,40,3,CC1CCN(c2ccc(N(C)C(=O)c3ccc(CN4CCOCC4)cc3)cc2C(F)(F)F)CC1
3,CC1=C(C=CC=C1C2=CC=CC=C2)NC3=NC(OC)=CC(CNCCO)=N3,P1,6,COc1cc(CNCCO)nc(Nc2cccc(-c3ccccc3)c2C)n1
3,CC1=C(C=CC=C1C2=CC=CC=C2)NC3=NC(OC)=CC(CNCC(O)=O)=N3,P13,7,COc1cc(CNCC(=O)O)nc(Nc2cccc(-c3ccccc3)c2C)n1
4,ClC1=C(C2=CC=C1CNC(C3CC4(C3)CNC4)=O)N(C=C2C5=CC(C(N)=S)=CC=C5)C6CCOCC6,22,13,NC(=S)c1cccc(-c2cn(C3CCOCC3)c3c(Cl)c(CNC(=O)C4CC5(CNC5)C4)ccc23)c1
4,ClC1=C(C2=CC=C1CNC(C3CC4(C3)CCN(CC4)CCNC(C)=O)=O)N(C=C2C5=CC(C(N)=S)=CC=C5)C6CCOCC6,50,16,CC(=O)NCCN1CCC2(CC1)CC(C(=O)NCc1ccc3c(-c4cccc(C(N)=S)c4)cn(C4CCOCC4)c3c1Cl)C2
5,O=C(CN1CCN(CCN(CCN(CC1)CC(O)=O)CC(O)=O)CC(N[C@@H](CCC(NCCCN2C=CN=C2[N+]([O-])=O)=O)C(N3CCN(CCCOC4=CC=C(C5=C4)N=CC=C5C(NCC(N6[C@@H](CC(F)(C6)F)C#N)=O)=O)CC3)=O)=O)O,DOTA-NI-FAPI-04,7,N#CC1CC(F)(F)CN1C(=O)CNC(=O)c1ccnc2ccc(OCCCN3CCN(C(=O)C(CCC(=O)NCCCn4ccnc4[N+](=O)[O-])NC(=O)CN4CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC4)CC3)cc12
6,CN1C=C(C2=CC=CC=C21)C3=CC=NC(N(C4=CC=CC(N)=C4)C)=N3,A35,4,CN(c1cccc(N)c1)c1nccc(-c2cn(C)c3ccccc23)n1
6,NC1=CC(NC2=NC=CC(OC3=CC=C4NC=CC4=C3)=N2)=CC=C1,A76,3,Nc1cccc(Nc2nccc(Oc3ccc4[nH]ccc4c3)n2)c1
7,OC(C1=C(N=C(C2=CC=C(C=C2)OCC)S1)C)=O,CIB-L25,4,CCOc1ccc(-c2nc(C)c(C(=O)O)s2)cc1
7,CC1=C(SC(CC2=CC=C(C=C2)OCC3CC3)=N1)C(O)=O,CIB-L63,7,Cc1nc(Cc2ccc(OCC3CC3)cc2)sc1C(=O)O
8,OC(C1=CC=C(C(OC2CCN(CC2)C)=C1)CC3=CC=CC=C3)=O,2a,4,CN1CCC(Oc2cc(C(=O)O)ccc2Cc2ccccc2)CC1
8,CN1CCC(OC2=CC(CC(O)=O)=CC=C2CC3=CC=CC=C3)CC1,2b,9,CN1CCC(Oc2cc(CC(=O)O)ccc2Cc2ccccc2)CC1
9,O=C1NC2=CC(C(OC)=O)=CC=C2/C1=C(C3=CC=CC=C3)/NC4=CC=C(C=C4)N(C)C(C(C)N5CCN(CC5)C)=O,10a,7,COC(=O)c1ccc2c(c1)NC(=O)C2=C(Nc1ccc(N(C)C(=O)C(C)N2CCN(C)CC2)cc1)c1ccccc1
10,CN(C1=CC=C(OCC2=C(C=CC=C2)[N+]([O-])=O)C=C1)N=O,N4,2,CN(N=O)c1ccc(OCc2ccccc2[N+](=O)[O-])cc1
10,CN(C1=CC=C(OCC2=CC=C(C=C2)[N+]([O-])=O)C=C1)N=O,N1,2,CN(N=O)c1ccc(OCc2ccc([N+](=O)[O-])cc2)cc1
11,CCCCC1=CC(C2=CC=CC=C2)=NN1CC3=CC=C(C=C3)C(NO)=O,4,4,CCCCc1cc(-c2ccccc2)nn1Cc1ccc(C(=O)NO)cc1
11,O=C(C1=CC=C(CN2N=C(C=C2C(F)(F)F)C(NC3=CC=CC=C3)=O)C=C1)NO,9,5,O=C(NO)c1ccc(Cn2nc(C(=O)Nc3ccccc3)cc2C(F)(F)F)cc1
12,CN1N=C2C(N(C=CC2=C1CC3=CC=C(N=C3)C(F)(F)F)CC)=O,5,4,CCn1ccc2c(Cc3ccc(C(F)(F)F)nc3)n(C)nc2c1=O
12,CN1N=C2C(N(C=C(C2=C1CC3=CC=C(N=C3)C(F)(F)F)C)CC)=O,12,6,CCn1cc(C)c2c(Cc3ccc(C(F)(F)F)nc3)n(C)nc2c1=O
13,CC1=C(C2=CC=C(CNC([C@@H]3C[C@H](CN3C([C@H](C(C)(C)C)NC(CN(CCCCCCOC4=CC5=C(N=C4)C(C6CCN(CC6)C(C7=CC=C(C=C7)OC(F)(F)F)=O)=NC=N5)C)=O)=O)O)=O)C=C2)SC=N1,7,3,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CN(C)CCCCCCOc2cnc3c(C4CCN(C(=O)c5ccc(OC(F)(F)F)cc5)CC4)ncnc3c2)C(C)(C)C)cc1
13,CC1=C(C2=CC=C(CNC([C@@H]3C[C@H](CN3C([C@H](C(C)(C)C)NC(CCOCCNC(COC4=CC5=C(N=C4)C(C6CCN(CC6)C(C7=CC=C(C=C7)OC(F)(F)F)=O)=NC=N5)=O)=O)=O)O)=O)C=C2)SC=N1,3,3,Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)CCOCCNC(=O)COc2cnc3c(C4CCN(C(=O)c5ccc(OC(F)(F)F)cc5)CC4)ncnc3c2)C(C)(C)C)cc1
14,O=S(C1=CC=C(C=C1)C(N(CC2=CC=C(C=C2)NCCO)CC3CC3)=O)(NC4=CC=CC=C4)=O,85,3,O=C(c1ccc(S(=O)(=O)Nc2ccccc2)cc1)N(Cc1ccc(NCCO)cc1)CC1CC1
14,O=S(C1=CC=C(C=C1)CN(CC2=CC=CC=C2)C(CCC)=O)(NC3=CC=CC=C3)=O,9,3,CCCC(=O)N(Cc1ccccc1)Cc1ccc(S(=O)(=O)Nc2ccccc2)cc1
15,N#CC1=C2C(C3=CC=C(N=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)=CC(C7=CN(N=C7)CCCCC(N[C@@H](C(C)(C)C)C(N8C[C@H](O)C[C@H]8C(N[C@@H](C)C9=CC=C(C%10=C(C)N=CS%10)C=C9)=O)=O)=O)=CN2N=C1,6,9,COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(-c5cnn(CCCCC(=O)NC(C(=O)N6CC(O)CC6C(=O)NC(C)c6ccc(-c7scnc7C)cc6)C(C)(C)C)c5)cn5ncc(C#N)c45)cn2)C3)cn1
15,O=C(NC1=O)CCC1N2C(C3=CC=CC(C#CCCN4C=C(C=N4)C5=CN6N=CC(C#N)=C6C(C7=CC=C(N8CC9CC(N9CC%10=CN=C(OC)C=C%10)C8)N=C7)=C5)=C3C2)=O,12,3,COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(-c5cnn(CCC#Cc6cccc7c6CN(C6CCC(=O)NC6=O)C7=O)c5)cn5ncc(C#N)c45)cn2)C3)cn1
